datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24
26.09.2021;Wahl zum Deutschen Bundestag;06411000;630;00630 - Herderschule;1;1;454;483;0;937;371;12;3;368;3;368;54;46;87;79;7;5;19;30;158;148;21;32;0;3;6;3;4;4;0;0;0;0;0;0;0;1;1;0;0;0;10;7;0;0;0;1;0;0;0;0;0;0;0;0;0;9;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;640;00640 - Herderschule;1;1;575;550;0;1125;422;7;3;419;5;417;56;43;84;76;19;24;46;58;150;139;48;45;0;10;7;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;1;0;0;0;0;0;1;0;0;0;1;0;10;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;650;00650 - Lichtenbergschule;1;1;542;445;0;987;278;1;4;274;3;275;30;26;48;51;20;22;27;30;94;82;35;39;0;4;7;3;6;2;0;0;0;0;0;0;0;0;0;1;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;5;0;6;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;660;00660 - Herderschule;1;1;611;500;0;1111;462;7;8;454;5;457;65;53;118;114;18;16;36;41;127;128;57;64;0;4;13;10;6;6;0;3;0;0;0;0;0;1;1;0;0;0;11;9;0;0;0;0;0;0;0;0;0;1;0;2;0;5;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;680;00680 - Mornewegschule (Schulcontainer);1;1;605;711;0;1316;490;10;2;488;2;488;85;68;117;120;17;21;48;52;149;136;43;53;0;4;9;5;5;1;0;2;0;0;0;0;0;1;1;0;0;0;13;13;0;2;0;0;0;0;0;2;0;0;0;1;0;7;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;690;00690 - Mornewegschule (Schulcontainer);1;1;620;583;0;1203;434;4;5;429;5;429;80;66;119;97;19;23;36;47;123;120;28;37;0;8;10;5;5;5;0;1;0;0;0;0;0;0;0;0;0;0;9;7;0;0;0;0;0;0;0;1;0;0;0;6;0;6;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;710;00710 - Georg-Moller-Haus;1;1;643;465;0;1108;428;5;2;426;3;425;62;46;104;96;30;29;47;64;110;93;40;56;0;3;18;5;6;1;0;5;0;1;0;0;0;0;0;0;0;0;8;5;0;1;0;0;0;0;0;1;0;0;0;5;0;14;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;720;00720 - Mornewegschule (Schulcontainer);1;1;722;581;0;1303;419;2;5;414;3;416;47;40;114;99;21;25;39;38;127;112;39;47;0;8;12;6;4;1;0;3;0;0;0;2;0;0;0;1;0;0;8;8;0;0;0;0;0;0;0;4;0;2;0;10;0;10;3;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;730;00730 - Heinrich-Heine-Schule;1;1;744;661;0;1405;490;8;4;486;5;485;62;54;107;111;27;25;49;42;169;155;47;47;0;5;10;9;2;2;0;4;0;1;0;1;0;1;3;1;0;0;9;9;0;1;0;0;0;2;0;1;0;0;0;7;0;7;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;750;00750 - Heinrich-Heine-Schule;1;1;612;319;0;931;318;1;6;312;5;313;41;38;87;80;42;38;27;26;62;63;37;37;0;5;7;3;6;6;0;1;0;0;0;0;0;1;0;0;0;0;3;2;0;0;0;0;0;0;0;1;0;1;0;6;0;5;0;0
