datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A;A1;A2;A3;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25
08.10.2023;Landtagswahl 2023;06411000;91010;91010;1;1;0;0;0;0;535;535;4;531;4;531;91;95;173;155;93;91;28;25;23;24;32;33;13;9;;13;13;11;0;3;;3;;0;;5;8;7;;1;2;1;;1;;0;;0;53;50;;4;2;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;91011;91011;1;1;0;0;0;0;429;429;6;423;3;426;73;66;149;146;74;64;29;31;22;32;25;26;11;12;;11;7;5;0;1;;2;;0;;0;1;1;;0;0;0;;1;;0;;0;31;26;;2;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;91012;91012;1;1;0;0;0;0;483;483;3;480;2;481;90;87;153;159;85;67;25;30;18;27;34;40;7;9;;2;10;7;2;1;;0;;0;;3;2;3;;0;1;0;;1;;2;;0;50;41;;2;3;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;91013;91013;1;1;0;0;0;0;459;459;4;455;3;456;88;90;155;152;69;63;18;19;22;30;27;24;4;4;;5;4;4;2;1;;0;;1;;3;5;6;;0;0;0;;0;;1;;0;56;47;;6;5;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;91014;91014;1;1;0;0;0;0;513;513;3;510;3;510;116;115;153;159;85;69;31;38;22;24;22;27;16;16;;8;10;8;8;4;;1;;0;;3;2;0;;0;0;0;;0;;0;;0;41;35;;3;4;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;91015;91015;1;1;0;0;0;0;543;543;1;542;1;542;102;104;146;150;111;99;38;36;38;43;28;28;6;11;;3;11;5;4;3;;1;;0;;1;5;3;;0;2;1;;3;;3;;0;48;45;;3;3;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;91016;91016;1;1;0;0;0;0;311;311;3;308;2;309;66;61;104;113;53;42;9;8;16;23;16;15;8;10;;7;1;0;3;2;;1;;0;;1;2;1;;1;0;0;;1;;0;;0;27;22;;1;3;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;92020;92020;1;1;0;0;0;0;583;583;7;576;5;578;70;81;180;189;108;90;41;39;22;21;56;54;14;11;;12;11;7;4;2;;3;;0;;9;12;9;;0;1;1;;4;;0;;0;48;42;;4;9;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;92021;92021;1;1;0;0;0;0;529;529;5;524;5;524;75;77;211;214;74;72;29;29;12;16;46;47;11;8;;3;13;7;5;3;;4;;1;;5;2;1;;0;0;1;;3;;1;;0;39;27;;5;7;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;92022;92022;1;1;0;0;0;0;623;623;3;620;3;620;106;112;213;220;107;93;38;41;24;25;45;50;17;15;;4;4;1;3;4;;1;;0;;1;5;4;;0;1;0;;2;;1;;0;51;43;;3;6;;;;;;;
