wahl,gebiet-nr,gebiet-name,Insgesamt,CDU,Grüne,SPD,AfD,FDP,Linke,Anteil_SPD,Anteil_CDU,Anteil_Grüne,Anteil_FDP,Anteil_AfD,Anteil_Linke,CDU_Anteil,CDU_Prozent,Grüne_Anteil,Grüne_Prozent,SPD_Anteil,SPD_Prozent,AfD_Anteil,AfD_Prozent,FDP_Anteil,FDP_Prozent,Linke_Anteil,Linke_Prozent,Wahl_Abkürzung,Stadtteil
Wahl zum Deutschen Bundestag,540,00540 - Ludwig-Georgs-Gymnasium,293,42,89,52,11,21,48,,,,,,,0.14334470989761092,14.334470989761092,0.3037542662116041,30.37542662116041,0.17747440273037543,17.747440273037544,0.03754266211604096,3.754266211604096,0.07167235494880546,7.167235494880546,0.16382252559726962,16.38225255972696,BTW21,DA-Mitte
Wahl zum Deutschen Bundestag,550,00550 - Ludwig-Georgs-Gymnasium,492,41,145,104,37,54,49,,,,,,,0.08333333333333333,8.333333333333332,0.29471544715447157,29.471544715447155,0.21138211382113822,21.138211382113823,0.07520325203252033,7.520325203252034,0.10975609756097561,10.975609756097562,0.09959349593495935,9.959349593495935,BTW21,DA-Mitte
Wahl zum Deutschen Bundestag,560,00560 - Ludwig-Georgs-Gymnasium,450,55,113,107,28,59,47,,,,,,,0.12222222222222222,12.222222222222221,0.2511111111111111,25.11111111111111,0.23777777777777778,23.77777777777778,0.06222222222222222,6.222222222222222,0.13111111111111112,13.111111111111112,0.10444444444444445,10.444444444444445,BTW21,DA-Mitte
Wahl zum Deutschen Bundestag,570,00570 - Heinrich-Hoffmann-Schule,429,36,122,95,32,55,45,,,,,,,0.08391608391608392,8.391608391608392,0.28438228438228436,28.438228438228435,0.22144522144522144,22.144522144522146,0.07459207459207459,7.459207459207459,0.1282051282051282,12.82051282051282,0.1048951048951049,10.48951048951049,BTW21,DA-Mitte
Wahl zum Deutschen Bundestag,580,00580 - Heinrich-Hoffmann-Schule,390,42,134,86,17,38,38,,,,,,,0.1076923076923077,10.76923076923077,0.3435897435897436,34.35897435897436,0.2205128205128205,22.05128205128205,0.04358974358974359,4.358974358974359,0.09743589743589744,9.743589743589745,0.09743589743589744,9.743589743589745,BTW21,DA-Mitte
Wahl zum Deutschen Bundestag,600,00600 - Georg-Büchner-Schule,560,94,184,98,22,70,52,,,,,,,0.16785714285714284,16.785714285714285,0.32857142857142857,32.857142857142854,0.175,17.5,0.039285714285714285,3.9285714285714284,0.125,12.5,0.09285714285714286,9.285714285714286,BTW21,Bessungen
Wahl zum Deutschen Bundestag,610,00610 - Alice-Eleonoren-Schule,528,138,133,98,20,90,25,,,,,,,0.26136363636363635,26.136363636363637,0.2518939393939394,25.189393939393938,0.1856060606060606,18.560606060606062,0.03787878787878788,3.787878787878788,0.17045454545454544,17.045454545454543,0.04734848484848485,4.734848484848484,BTW21,Bessungen
Wahl zum Deutschen Bundestag,620,00620 - Lichtenbergschule,454,78,123,97,20,73,25,,,,,,,0.17180616740088106,17.180616740088105,0.2709251101321586,27.09251101321586,0.21365638766519823,21.365638766519822,0.04405286343612335,4.405286343612335,0.16079295154185022,16.079295154185022,0.05506607929515418,5.506607929515418,BTW21,Bessungen
Wahl zum Deutschen Bundestag,630,00630 - Herderschule,371,46,148,79,5,30,32,,,,,,,0.12398921832884097,12.398921832884097,0.39892183288409705,39.892183288409704,0.21293800539083557,21.293800539083556,0.013477088948787063,1.3477088948787064,0.08086253369272237,8.086253369272237,0.0862533692722372,8.62533692722372,BTW21,Bessungen
Wahl zum Deutschen Bundestag,640,00640 - Herderschule,422,43,139,76,24,58,45,,,,,,,0.1018957345971564,10.189573459715639,0.3293838862559242,32.93838862559242,0.18009478672985782,18.009478672985782,0.05687203791469194,5.687203791469194,0.13744075829383887,13.744075829383887,0.1066350710900474,10.66350710900474,BTW21,Bessungen
Wahl zum Deutschen Bundestag,650,00650 - Lichtenbergschule,278,26,82,51,22,30,39,,,,,,,0.09352517985611511,9.352517985611511,0.2949640287769784,29.496402877697843,0.18345323741007194,18.345323741007196,0.07913669064748201,7.913669064748201,0.1079136690647482,10.79136690647482,0.14028776978417265,14.028776978417264,BTW21,Bessungen
Wahl zum Deutschen Bundestag,660,00660 - Herderschule,462,53,128,114,16,41,64,,,,,,,0.11471861471861472,11.471861471861471,0.27705627705627706,27.705627705627705,0.24675324675324675,24.675324675324674,0.03463203463203463,3.463203463203463,0.08874458874458875,8.874458874458876,0.13852813852813853,13.852813852813853,BTW21,Bessungen
Wahl zum Deutschen Bundestag,680,00680 - Mornewegschule (Schulcontainer),490,68,136,120,21,52,53,,,,,,,0.13877551020408163,13.877551020408163,0.27755102040816326,27.755102040816325,0.24489795918367346,24.489795918367346,0.04285714285714286,4.285714285714286,0.10612244897959183,10.612244897959183,0.10816326530612246,10.816326530612246,BTW21,Bessungen
Wahl zum Deutschen Bundestag,690,00690 - Mornewegschule (Schulcontainer),434,66,120,97,23,47,37,,,,,,,0.15207373271889402,15.207373271889402,0.2764976958525346,27.64976958525346,0.22350230414746544,22.350230414746544,0.052995391705069124,5.299539170506913,0.10829493087557604,10.829493087557603,0.08525345622119816,8.525345622119817,BTW21,Bessungen
Wahl zum Deutschen Bundestag,710,00710 - Georg-Moller-Haus,428,46,93,96,29,64,56,,,,,,,0.10747663551401869,10.74766355140187,0.21728971962616822,21.72897196261682,0.22429906542056074,22.429906542056074,0.06775700934579439,6.775700934579438,0.14953271028037382,14.953271028037381,0.1308411214953271,13.084112149532709,BTW21,DA-Mitte
Wahl zum Deutschen Bundestag,720,00720 - Mornewegschule (Schulcontainer),419,40,112,99,25,38,47,,,,,,,0.0954653937947494,9.54653937947494,0.26730310262529833,26.730310262529834,0.23627684964200477,23.627684964200476,0.059665871121718374,5.966587112171838,0.09069212410501193,9.069212410501192,0.11217183770883055,11.217183770883054,BTW21,DA-West
Wahl zum Deutschen Bundestag,730,00730 - Heinrich-Heine-Schule,490,54,155,111,25,42,47,,,,,,,0.11020408163265306,11.020408163265307,0.3163265306122449,31.63265306122449,0.22653061224489796,22.653061224489797,0.05102040816326531,5.1020408163265305,0.08571428571428572,8.571428571428571,0.09591836734693877,9.591836734693878,BTW21,DA-West
Wahl zum Deutschen Bundestag,750,00750 - Heinrich-Heine-Schule,318,38,63,80,38,26,37,,,,,,,0.11949685534591195,11.949685534591195,0.19811320754716982,19.81132075471698,0.25157232704402516,25.157232704402517,0.11949685534591195,11.949685534591195,0.08176100628930817,8.176100628930817,0.11635220125786164,11.635220125786164,BTW21,DA-West
Wahl zum Deutschen Bundestag,760,00760 - Heinrich-Heine-Schule,425,54,79,139,36,40,21,,,,,,,0.12705882352941175,12.705882352941176,0.18588235294117647,18.58823529411765,0.3270588235294118,32.70588235294118,0.08470588235294117,8.470588235294118,0.09411764705882353,9.411764705882353,0.04941176470588235,4.941176470588235,BTW21,DA-West
Wahl zum Deutschen Bundestag,780,00780 - Wilhelm-Leuschner-Schule,519,53,117,117,53,64,57,,,,,,,0.10211946050096339,10.211946050096339,0.2254335260115607,22.54335260115607,0.2254335260115607,22.54335260115607,0.10211946050096339,10.211946050096339,0.1233140655105973,12.33140655105973,0.10982658959537572,10.982658959537572,BTW21,DA-West
Wahl zum Deutschen Bundestag,790,00790 - Wilhelm-Leuschner-Schule,437,59,113,104,21,60,39,,,,,,,0.13501144164759726,13.501144164759726,0.2585812356979405,25.85812356979405,0.2379862700228833,23.79862700228833,0.04805491990846682,4.805491990846682,0.13729977116704806,13.729977116704806,0.08924485125858124,8.924485125858125,BTW21,DA-West
Wahl zum Deutschen Bundestag,800,00800 - Verwaltungsseminar,341,27,87,84,21,47,32,,,,,,,0.07917888563049853,7.9178885630498534,0.25513196480938416,25.513196480938415,0.24633431085043989,24.633431085043988,0.06158357771260997,6.158357771260997,0.1378299120234604,13.78299120234604,0.093841642228739,9.3841642228739,BTW21,DA-West
Wahl zum Deutschen Bundestag,810,00810 - Verwaltungsseminar,358,51,99,65,34,43,22,,,,,,,0.1424581005586592,14.24581005586592,0.276536312849162,27.6536312849162,0.18156424581005587,18.156424581005588,0.09497206703910614,9.497206703910614,0.12011173184357542,12.011173184357542,0.061452513966480445,6.145251396648044,BTW21,DA-West
Wahl zum Deutschen Bundestag,820,00820 - Friedrich-Ebert-Schule,407,72,58,127,35,59,20,,,,,,,0.1769041769041769,17.69041769041769,0.14250614250614252,14.250614250614252,0.31203931203931207,31.203931203931205,0.085995085995086,8.5995085995086,0.14496314496314497,14.496314496314497,0.04914004914004914,4.914004914004914,BTW21,DA-West
